text,start,duration
all right,0.12,2.88
I feel like we've driven into a real,1.26,4.019
life horror film yeah there's no phone,3.0,4.2
signals of course there isn't up here oh,5.279,4.081
my God there's a face on the ceiling,7.2,6.08
what is that why have they done that,9.36,3.92
[Music],13.88,6.04
for over 600 years the more I heads of,17.22,4.44
Easter Island have Loom large over the,19.92,3.359
people of this island a majestic,21.66,4.02
fantastic presence are you trying to,23.279,3.42
convince them that we're in Easter,25.68,3.48
Island uh no well we're in Miyazaki,26.699,4.561
Japan right now and this is wacky,29.16,3.9
weekend wacky weekend,31.26,3.08
[Music],33.06,2.58
[Applause],34.34,3.94
[Music],35.64,5.239
foreign,38.28,5.64
about to go on a road trip across Kyushu,40.879,5.401
too the biggest Onsen town in all Japan,43.92,4.979
Hot Springs oh great I got to go on a,46.28,4.42
bath again on camera that is the essence,48.899,3.421
of one of the weekends Connor and a bath,50.7,3.06
but I've always wanted to go to Bedford,52.32,3.18
and do a video there honestly I do want,53.76,3.42
to see the more eye statues in real life,55.5,3.6
in person in Easter Island some point in,57.18,3.66
the future but these ones are actually,59.1,3.72
approved by the Elders of Easter Island,60.84,3.24
they're giving it the sign off right,62.82,3.119
yeah there's a UNESCO world heritage,64.08,4.079
sign all around here just in your face,65.939,4.441
so it must be good but what I like is,68.159,4.021
the original Maui statues right they,70.38,3.54
were made to commemorate the leaders of,72.18,3.479
the island and the bigger the statue the,73.92,3.059
more important the leader of the island,75.659,3.301
was while they were sort of rolled in on,76.979,5.041
bits of wood by 150 people these ones,78.96,4.56
were shipped in by crane oh there's a,82.02,3.0
big better than being dropped in by,83.52,3.239
crane take some of the magic the,85.02,3.84
Ethereal magic away but anyway we came,86.759,3.841
in for a road trip so what's first on,88.86,3.78
our list then we are going to a,90.6,5.28
beautiful traditional abandoned Village,92.64,6.68
favorite color let's go,95.88,3.44
yazaki is an often overlooked region,100.02,3.48
given it's on the quiet Southeastern,101.88,3.96
coast of Kishi but it's a place that,103.5,4.619
punches well above its way,105.84,4.86
coming up we taste Miyazaki beef Japan's,108.119,4.581
most award-winning World gear,110.7,4.08
desperately attempt to catch our lunch,112.7,4.48
out of a literal drain point which I,114.78,4.32
can't get them in time it's yours it's,117.18,3.299
the most stressful dining experience,119.1,4.08
I've had in 10 years I nearly get tossed,120.479,5.221
overboard by Captain Connor in the,123.18,6.38
ethereal takachi hogi,125.7,3.86
